item,category,company,number_per_case,oh_leftover_2022,opening_order_2023,oh_4_30,thru_4_30,order_5_7,oh_5_7,thru_5_7,order_5_14,oh_5_14,thru_5_14,order_5_21,oh_5_21,thru_5_21,order_5_28,oh_5_28,thru_5_28,order_6_4,oh_6_4,thru_6_4,order_6_11,oh_6_11,thru_6_11,order_6_18,oh_6_18,thru_6_18,order_6_25,oh_6_25,thru_6_25,order_7_9,oh_7_9,thru_7_9,order_7_16,oh_7_16,thru_7_16,order_7_23,oh_7_23,thru_7_23,order_7_30,oh_7_30,thru_7_30,order_8_6,oh_8_6,thru_8_6,order_8_13,oh_8_13,thru_8_13,order_8_20,oh_8_20,thru_8_20,order_8_29,oh_8_29,thru_8_29,order_9_6,oh_9_6,thru_9_6,order_9_12,oh_9_12,thru_9_12,order_9_26,oh_9_26,thru_9_26,INSERT STATEMENTS
Rack Vodka,vodka,Union,12,9,85,4,90,167,108,63,166,169,105,134,235,68,1,88,148,166,96,158,164,200,60,167,72,295,249,234,87,165,138,261,,61,77,,2,59,168,41,129,,70,-29,,154,-84,164,69,249,0,203,-134,3,115,91,0,111,4,0,84,27,"('Rack Vodka','vodka','Union',12,9,85,4,90,167,108,63,166,169,105,134,235,68,1,88,148,166,96,158,164,200,60,167,72,295,249,234,87,165,138,261,NULL,61,77,NULL,2,59,168,41,129,NULL,70,-29,NULL,154,-84,164,69,249,0,203,-134,3,115,91,0,111,4,0,84,27),"
Rack Gin,gin,Union,12,50,3,3,50,3,6,0,49,6,49,2,7,1,83,53,37,0,35,18,53,77,11,53,60,70,50,99,11,3,82,20,,78,4,,65,13,0,56,9,,42,14,,43,-1,0,33,10,0,27,6,0,16,11,0,28,-12,0,14,14,"('Rack Gin','gin','Union',12,50,3,3,50,3,6,0,49,6,49,2,7,1,83,53,37,0,35,18,53,77,11,53,60,70,50,99,11,3,82,20,NULL,78,4,NULL,65,13,0,56,9,NULL,42,14,NULL,43,-1,0,33,10,0,27,6,0,16,11,0,28,-12,0,14,14),"
Rack Rum,rum,Union,12,31,85,55,61,4,66,-7,2,34,34,83,80,37,85,124,41,3,66,61,164,93,137,166,133,126,165,242,56,50,168,124,,132,36,,98,34,3,27,74,,36,-9,,79,-43,85,32,132,0,73,-41,0,23,50,0,53,-30,0,4,49,"('Rack Rum','rum','Union',12,31,85,55,61,4,66,-7,2,34,34,83,80,37,85,124,41,3,66,61,164,93,137,166,133,126,165,242,56,50,168,124,NULL,132,36,NULL,98,34,3,27,74,NULL,36,-9,NULL,79,-43,85,32,132,0,73,-41,0,23,50,0,53,-30,0,4,49),"
Rack Tequila,tequila,Southern,12,115,2,52,65,2,94,-40,82,105,53,43,106,27,167,97,129,312,294,82,164,210,181,0,318,37,86,181,44,248,202,165,3,155,34,1,68,64,3,0,49,3,16,-12,4,96,-57,208,38,193,0,179,-103,3,73,79,0,49,17,0,14,35,"('Rack Tequila','tequila','Southern',12,115,2,52,65,2,94,-40,82,105,53,43,106,27,167,97,129,312,294,82,164,210,181,0,318,37,86,181,44,248,202,165,3,155,34,1,68,64,3,0,49,3,16,-12,4,96,-57,208,38,193,0,179,-103,3,73,79,0,49,17,0,14,35),"
Triple Sec,liqueur,Union,12,4,83,3,84,,32,-29,83,83,32,53,141,-5,3,129,15,,109,20,2,70,41,2,54,18,51,96,9,34,52,78,,89,-37,,71,18,2,50,23,,31,19,,64,-33,82,47,99,0,103,-56,1,90,14,0,80,10,0,68,12,"('Triple Sec','liqueur','Union',12,4,83,3,84,NULL,32,-29,83,83,32,53,141,-5,3,129,15,NULL,109,20,2,70,41,2,54,18,51,96,9,34,52,78,NULL,89,-37,NULL,71,18,2,50,23,NULL,31,19,NULL,64,-33,82,47,99,0,103,-56,1,90,14,0,80,10,0,68,12),"
Peach Schnapps,liqueur,Union,12,35,4,6,33,,18,-12,50,77,-9,3,121,-41,49,101,69,,89,12,0,81,8,1,88,-6,0,35,53,103,135,3,,89,46,,59,30,4,49,14,,31,18,,23,8,53,0,76,0,36,-36,,18,18,0,37,-19,0,11,26,"('Peach Schnapps','liqueur','Union',12,35,4,6,33,NULL,18,-12,50,77,-9,3,121,-41,49,101,69,NULL,89,12,0,81,8,1,88,-6,0,35,53,103,135,3,NULL,89,46,NULL,59,30,4,49,14,NULL,31,18,NULL,23,8,53,0,76,0,36,-36,NULL,18,18,0,37,-19,0,11,26),"
Amaretto,liqueur,Union,12,14,33,33,14,,35,-2,1,18,18,52,68,2,3,61,10,,61,0,0,49,12,0,49,0,4,40,13,16,15,41,,77,-62,,74,3,2,67,9,,57,10,,49,8,50,8,91,0,81,-73,,71,10,0,77,-6,0,36,41,"('Amaretto','liqueur','Union',12,14,33,33,14,NULL,35,-2,1,18,18,52,68,2,3,61,10,NULL,61,0,0,49,12,0,49,0,4,40,13,16,15,41,NULL,77,-62,NULL,74,3,2,67,9,NULL,57,10,NULL,49,8,50,8,91,0,81,-73,NULL,71,10,0,77,-6,0,36,41),"
Blue Curacao,liqueur,Union,12,12,1,3,10,,1,2,34,33,2,1,34,0,3,32,5,,26,6,0,21,5,2,22,1,1,23,0,0,19,4,,19,0,,20,-1,2,18,4,,19,-1,,18,1,4,16,6,0,14,2,,10,4,0,11,-1,0,10,1,"('Blue Curacao','liqueur','Union',12,12,1,3,10,NULL,1,2,34,33,2,1,34,0,3,32,5,NULL,26,6,0,21,5,2,22,1,1,23,0,0,19,4,NULL,19,0,NULL,20,-1,2,18,4,NULL,19,-1,NULL,18,1,4,16,6,0,14,2,NULL,10,4,0,11,-1,0,10,1),"
Coffee Liqueur,liqueur,Union,12,5,1,39,-33,,38,1,,34,4,,36,-2,0,26,10,,19,7,0,21,-2,0,21,0,0,22,-1,,21,1,,21,0,,19,2,4,20,3,,21,-1,,16,5,0,17,-1,0,15,2,,36,-21,0,32,4,0,32,0,"('Coffee Liqueur','liqueur','Union',12,5,1,39,-33,NULL,38,1,NULL,34,4,NULL,36,-2,0,26,10,NULL,19,7,0,21,-2,0,21,0,0,22,-1,NULL,21,1,NULL,21,0,NULL,19,2,4,20,3,NULL,21,-1,NULL,16,5,0,17,-1,0,15,2,NULL,36,-21,0,32,4,0,32,0),"
Blackberry Liqueur,liqueur,Union,12,25,2,21,6,,22,-1,,23,-1,,21,2,4,21,4,,19,2,2,22,-1,3,18,7,2,19,1,,20,-1,,21,-1,,18,3,2,20,0,,21,-1,,21,0,2,21,2,0,21,0,,18,3,0,18,0,0,21,-3,"('Blackberry Liqueur','liqueur','Union',12,25,2,21,6,NULL,22,-1,NULL,23,-1,NULL,21,2,4,21,4,NULL,19,2,2,22,-1,3,18,7,2,19,1,NULL,20,-1,NULL,21,-1,NULL,18,3,2,20,0,NULL,21,-1,NULL,21,0,2,21,2,0,21,0,NULL,18,3,0,18,0,0,21,-3),"
Grey Goose,vodka,Southern,6,4,43,30,17,,12,18,20,24,8,3,30,-3,,20,10,,15,5,26,30,11,,33,-3,0,25,8,18,9,34,,16,-7,,16,0,,8,8,,5,3,,33,-28,3,28,8,0,24,4,11,1,34,0,5,-4,0,1,4,"('Grey Goose','vodka','Southern',6,4,43,30,17,NULL,12,18,20,24,8,3,30,-3,NULL,20,10,NULL,15,5,26,30,11,NULL,33,-3,0,25,8,18,9,34,NULL,16,-7,NULL,16,0,NULL,8,8,NULL,5,3,NULL,33,-28,3,28,8,0,24,4,11,1,34,0,5,-4,0,1,4),"
Ketel One,vodka,Southern,12,4,84,45,43,,41,4,53,90,4,0,83,7,,57,26,2,39,20,49,87,1,,72,15,1,66,7,1,25,42,99,29,95,103,27,105,,7,20,,3,4,,67,-64,2,64,5,0,54,10,,25,29,0,18,7,0,5,13,"('Ketel One','vodka','Southern',12,4,84,45,43,NULL,41,4,53,90,4,0,83,7,NULL,57,26,2,39,20,49,87,1,NULL,72,15,1,66,7,1,25,42,99,29,95,103,27,105,NULL,7,20,NULL,3,4,NULL,67,-64,2,64,5,0,54,10,NULL,25,29,0,18,7,0,5,13),"
