"item","category","company","number_per_case","oh_leftover_2023","opening_order_2024","oh_4_29","thru_4_29","order_5_6","oh_5_6","thru_5_6","order_5_13","oh_5_13","thru_5_15","order_5_20","oh_5_20","thru_5_20","order_5_28","oh_5_28","thru_5_28","order_6_5","oh_6_5","thru_6_5","order_6_10","oh_6_10","thru_6_10","order_6_17","oh_6_17","thru_6_17","order_6_24","oh_6_24","thru_6_24","order_7_1","oh_7_1","thru_7_1","order_7_8","oh_7_8","thru_7_8","order_7_15","oh_7_15","thru_7_15","order_7_22","oh_7_22","thru_7_22","order_7_29","oh_7_29","thru_7_29","order_8_5","oh_8_5","thru_8_5","order_8_12","oh_8_12","thru_8_12","order_8_19","oh_8_19","thru_8_19","order_8_26","oh_8_26","thru_8_26","order_9_5","ohBNW_9_5","ohBARS_9_5","oh_9_5","thru_9_5","order_9_9","ohBNW_9_9","ohBARS_9_9","oh_9_9","thru_9_9","order_9_16","ohBNW_9_16","ohBARS_9_16","oh_9_16","thru_9_16","order_9_25","ohBNW_9_25","ohBARS_9_25","oh_9_25","thru_9_25","order_10_1","ohBNW_10_1","ohBARS_10_1","oh_10_1","thru_10_1","order_10_7","ohBNW_10_7","ohBARS_10_7","oh_10_7","thru_10_7","order_10_14","ohBNW_10_14","ohBARS_10_14","crab_took_10_14","oh_10_14","thru_10_14"
"151 Rum","rum","Empire",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,20,21,1,NA,20,1,NA,16,4,NA,14,2,NA,3,11,17,19,1,NA,18,1,NA,15,3,NA,12,3,NA,13,NA,NA,9,4,NA,7,2,12,13,12,25,NA,NA,15,12,24,NA,NA,12,10,22,5,NA,14,13,23,NA,NA,15,10,25,2,NA,14,8,23,3,NA,18,9,NA,21,NA
"1800 Coconut Tequila","tequila","Empire",6,44,0,24,20,4,28,0,NA,27,1,NA,27,0,NA,17,10,20,22,15,18,17,23,33,36,14,NA,18,18,36,42,12,NA,30,12,20,31,19,NA,19,12,NA,7,12,16,19,4,NA,15,4,NA,5,10,8,7,6,8,1,NA,1,14,NA,3,NA,0,NA,NA,2,NA,0,1,NA,1,NA,1,1,NA,3,NA,1,NA,NA,0,NA,4,3,NA,3,NA,NA,4,NA
"1800 Tequila","tequila","Empire",6,70,4,44,30,4,46,2,NA,51,NA,NA,49,2,NA,42,7,NA,42,0,NA,38,4,NA,38,0,NA,41,NA,NA,26,15,NA,22,4,10,29,3,NA,22,7,NA,16,6,NA,16,0,NA,13,3,NA,11,2,NA,11,0,NA,5,NA,4,6,NA,2,NA,4,3,NA,2,NA,1,0,NA,4,NA,0,NA,NA,0,NA,1,4,NA,3,NA,3,NA,NA,4,NA,NA,3,NA
"Absolut Mango","vodka","Southern",12,62,0,62,0,4,37,29,NA,21,16,18,40,NA,NA,40,0,18,50,8,NA,48,2,NA,44,4,NA,42,2,NA,30,12,NA,24,6,NA,22,2,19,33,8,NA,26,7,NA,26,0,NA,25,1,NA,17,8,NA,18,NA,NA,8,NA,11,10,NA,17,15,28,NA,NA,16,13,28,3,NA,16,13,23,0,NA,16,3,20,10,NA,20,5,23,NA,NA,19,6,NA,24,0
"Absolute Citron","vodka","Southern",12,29,18,12,35,19,22,9,NA,19,3,17,29,7,NA,20,9,37,32,25,19,41,10,NA,36,5,NA,32,4,NA,21,11,NA,21,0,NA,12,9,NA,8,4,20,16,12,NA,14,2,NA,10,4,NA,7,3,NA,3,4,NA,1,15,15,NA,NA,7,14,23,NA,NA,8,14,19,NA,NA,7,11,12,4,NA,8,7,14,3,NA,6,7,10,2,NA,9,6,NA,14,NA
"Absolute Vanilla","vodka","Southern",12,43,0,43,0,4,33,14,NA,31,2,NA,34,NA,NA,30,4,NA,33,NA,NA,30,3,NA,29,1,NA,29,0,NA,32,NA,NA,30,2,NA,26,4,NA,25,1,NA,23,2,NA,23,0,NA,24,NA,NA,22,2,NA,22,0,NA,18,NA,20,4,NA,18,NA,18,0,NA,21,NA,19,NA,NA,21,NA,22,0,NA,20,NA,21,1,NA,20,NA,21,0,NA,15,NA,8,13,NA
"Amaretto","liqueur","Southern",12,81,0,62,19,3,60,5,NA,61,NA,NA,59,2,NA,45,14,NA,42,3,NA,40,2,NA,27,13,17,32,12,35,59,8,NA,49,10,NA,35,14,NA,37,NA,NA,29,8,NA,23,6,NA,18,5,NA,17,1,NA,11,6,16,17,3,21,7,19,35,5,39,NA,NA,32,5,34,3,NA,31,5,30,1,NA,25,4,26,7,NA,28,2,29,NA,NA,28,3,NA,29,NA
"B&B","whiskey","Southern",12,27,4,26,5,2,25,3,NA,23,2,NA,25,NA,NA,27,NA,NA,23,4,NA,23,0,NA,24,NA,NA,24,0,NA,22,2,NA,21,1,NA,21,0,NA,19,2,NA,21,NA,NA,22,NA,NA,21,1,NA,16,5,NA,20,NA,NA,19,NA,18,1,NA,16,NA,17,3,NA,19,NA,15,NA,NA,17,NA,15,2,NA,19,NA,18,NA,NA,17,NA,17,2,NA,19,NA,NA,18,NA
"Bacardi","rum","Southern",12,40,35,34,41,2,33,3,NA,18,15,19,37,0,18,47,8,NA,34,13,NA,26,8,20,34,12,NA,26,8,36,43,19,NA,34,9,NA,30,4,NA,18,12,20,34,4,NA,30,4,NA,29,1,NA,11,18,NA,9,2,NA,22,20,42,NA,NA,18,19,39,5,NA,19,17,32,1,NA,16,17,30,3,NA,18,14,29,1,NA,17,15,30,0,NA,17,18,NA,28,NA
"Bacardi Limon","rum","Southern",12,42,18,4,56,83,56,31,16,56,16,19,63,12,20,28,55,49,19,58,67,24,62,70,28,66,66,35,59,185,100,120,35,86,49,37,53,70,50,48,55,51,63,36,19,40,42,NA,18,22,34,19,33,35,28,26,19,16,30,45,1,NA,16,19,33,11,NA,15,17,27,3,NA,8,11,17,13,NA,6,14,20,NA,NA,8,15,18,NA,NA,9,13,NA,16,1
