"item","category","company","number_per_case","oh_leftover_2022","opening_order_2023","oh_4_30","thru_4_30","order_5_7","oh_5_7","thru_5_7","order_5_14","oh_5_14","thru_5_14","order_5_21","oh_5_21","thru_5_21","order_5_28","oh_5_28","thru_5_28","order_6_4","oh_6_4","thru_6_4","order_6_11","oh_6_11","thru_6_11","order_6_18","oh_6_18","thru_6_18","order_6_25","oh_6_25","thru_6_25","order_7_9","oh_7_9","thru_7_9","order_7_16","oh_7_16","thru_7_16","order_7_23","oh_7_23","thru_7_23","order_7_30","oh_7_30","thru_7_30","order_8_6","oh_8_6","thru_8_6","order_8_13","oh_8_13","thru_8_13","order_8_20","oh_8_20","thru_8_20","order_8_29","oh_8_29","thru_8_29","order_9_6","oh_9_6","thru_9_6","order_9_12","oh_9_12","thru_9_12","order_9_26","oh_9_26","thru_9_26"
"1800 Coconut Tequila","tequila","Empire",6,9,44,25,28,NA,19,6,NA,12,7,9,24,NA,0,14,10,NA,0,14,45,37,8,1,20,18,51,36,35,70,71,35,NA,113,NA,NA,103,10,NA,96,7,NA,87,9,NA,78,9,1,58,21,0,68,NA,NA,59,9,0,55,4,0,50,5
"1800 Tequila","tequila","Empire",6,12,26,12,26,NA,15,NA,29,36,8,0,38,NA,1,29,10,NA,30,NA,1,25,6,NA,18,7,37,33,22,52,77,8,NA,68,9,NA,114,NA,NA,114,0,NA,116,NA,NA,114,2,0,90,24,0,103,NA,NA,111,NA,0,96,15,0,91,5
"818 blanco","tequila","Southern",6,15,NA,5,10,NA,4,1,2,4,2,3,2,5,NA,5,NA,NA,4,1,28,27,5,NA,25,2,1,25,1,0,19,6,NA,22,NA,NA,16,6,NA,18,NA,NA,16,2,NA,16,0,4,18,2,0,17,1,NA,8,9,0,8,0,0,8,0
"818 repasado","tequila","Southern",6,2,NA,3,NA,NA,2,1,8,12,NA,2,12,2,NA,5,7,NA,19,NA,4,15,8,NA,8,7,53,25,36,61,85,1,NA,80,5,NA,78,2,NA,87,NA,NA,73,14,NA,67,6,1,60,8,0,49,11,NA,41,8,0,50,NA,0,46,4
"Absolut","vodka","Southern",6,62,3,36,29,NA,26,10,19,40,5,4,37,7,4,15,26,NA,36,NA,4,30,10,NA,32,NA,3,28,7,3,30,NA,NA,77,NA,NA,27,50,18,36,9,NA,50,NA,NA,22,28,3,21,4,0,21,0,NA,19,2,0,17,2,0,7,10
"Absolut Mango","vodka","Southern",12,51,0,99,NA,NA,92,7,NA,93,NA,0,83,10,NA,71,12,NA,53,18,0,48,5,NA,39,9,2,32,9,1,10,23,NA,55,NA,NA,53,2,NA,45,8,NA,31,14,NA,33,NA,3,48,NA,0,46,2,NA,40,6,0,38,2,0,42,NA
"Absolut Pear","vodka","Southern",12,18,2,19,1,NA,20,NA,4,19,5,0,18,1,2,19,1,NA,17,2,2,18,1,NA,20,NA,1,18,3,1,18,1,NA,20,NA,NA,17,3,NA,19,NA,NA,26,NA,NA,29,NA,0,29,0,0,29,0,NA,30,NA,0,31,NA,0,30,1
"Absolute Citron","vodka","Southern",12,77,83,81,79,NA,85,NA,1,62,24,2,82,NA,4,84,2,NA,84,0,2,80,6,NA,79,1,2,81,0,1,19,63,NA,16,3,NA,16,0,NA,9,7,NA,1,8,NA,2,NA,6,3,5,0,14,NA,18,6,26,0,22,NA,0,14,8
"Absolute Vanilla","vodka","Southern",12,60,0,48,12,NA,47,1,0,44,3,1,60,NA,2,59,3,NA,59,0,3,54,8,NA,55,NA,4,55,4,1,53,3,NA,53,0,NA,49,4,NA,48,1,NA,44,4,NA,49,NA,3,44,8,0,41,3,NA,41,0,0,44,NA,0,44,0
"Absolute Watermelon","vodka","Southern",6,72,1,51,22,NA,50,1,NA,55,NA,3,56,2,NA,56,0,NA,54,2,0,54,0,NA,44,10,4,47,1,1,51,NA,NA,47,4,NA,54,NA,NA,51,3,NA,51,0,NA,52,NA,0,50,2,0,48,2,NA,48,0,0,52,NA,0,50,2
"Amaretto","liqueur","Union",12,15,34,33,16,NA,36,NA,0,19,17,51,70,0,4,62,12,NA,61,1,0,52,9,3,45,10,4,38,11,16,14,40,NA,77,NA,NA,73,4,4,64,13,NA,56,8,NA,47,9,49,8,88,0,80,NA,NA,70,10,0,78,NA,0,35,43
"Avion","tequila","Southern",6,20,NA,11,9,NA,11,0,NA,11,0,1,11,1,3,14,0,NA,13,1,2,12,3,NA,12,0,4,12,4,4,7,9,NA,12,NA,NA,15,NA,NA,14,1,NA,12,2,NA,12,0,4,11,5,0,13,NA,NA,15,NA,0,12,3,0,11,1
"B&B","whiskey","Southern",12,35,3,16,22,NA,13,3,NA,14,NA,3,11,6,4,14,1,NA,10,4,3,9,4,NA,10,NA,2,9,3,19,23,5,NA,25,NA,NA,24,1,NA,22,2,NA,26,NA,NA,6,20,4,7,3,0,6,1,NA,6,0,0,4,2,0,7,NA
"Bacardi","rum","Southern",12,42,53,11,84,NA,8,3,4,3,9,84,76,11,1,79,NA,NA,42,37,50,88,4,NA,98,NA,1,92,7,0,95,NA,NA,70,25,NA,65,5,NA,62,3,NA,54,8,NA,40,14,1,34,7,0,30,4,18,12,36,0,60,NA,0,28,32
"Bacardi Limon","rum","Southern",12,12,3,2,13,NA,0,2,85,41,44,52,56,37,0,55,1,NA,8,47,83,53,38,NA,32,21,52,49,35,86,50,85,NA,41,9,NA,14,27,NA,37,NA,NA,17,20,NA,1,16,52,19,34,0,57,NA,NA,23,34,0,32,NA,0,11,21
"Beefeater","gin","Southern",12,4,10,11,3,NA,10,1,NA,7,3,2,8,1,4,11,1,NA,9,2,4,10,3,NA,9,1,1,7,3,4,7,4,NA,5,2,NA,6,NA,NA,5,1,NA,4,1,NA,2,2,NA,4,NA,0,3,1,7,4,6,0,6,NA,0,7,NA
"Bicardi Lime","rum","Southern",12,2,1,2,1,NA,2,0,1,NA,3,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Blackberry Liqueur","liqueur","Union",12,22,3,25,0,NA,20,5,NA,22,NA,NA,20,2,1,22,NA,NA,23,NA,4,21,6,2,18,5,2,20,0,NA,18,2,NA,22,NA,NA,21,1,3,21,3,NA,21,0,NA,21,0,3,21,3,0,21,0,NA,22,NA,0,20,2,0,20,0
"Blue Curacao","liqueur","Union",12,10,2,3,9,NA,2,1,33,31,4,0,35,NA,0,32,3,NA,27,5,4,22,9,1,24,NA,3,25,2,2,16,11,NA,16,0,NA,18,NA,1,19,0,NA,19,0,NA,17,2,0,18,NA,0,13,5,NA,12,1,0,11,1,0,10,1
