item,category,company,number_per_case,oh_leftover_2023,opening_order_2024,oh_4_29,thru_4_29,order_5_6,oh_5_6,thru_5_6,order_5_13,oh_5_13,thru_5_13,order_5_20,oh_5_20,thru_5_20,order_5_28,oh_5_28,thru_5_28,order_6_3,oh_6_3,thru_6_3,order_6_10,oh_6_10,thru_6_10,order_6_17,oh_6_17,thru_6_17,order_6_24,oh_6_24,thru_6_24,order_7_1,oh_7_1,thru_7_1,order_7_8,oh_7_8,thru_7_8,order_7_15,oh_7_15,thru_7_15,order_7_22,oh_7_22,thru_7_22,order_7_29,oh_7_29,thru_7_29,order_8_5,oh_8_5,thru_8_5,order_8_12,oh_8_12,thru_8_12,order_8_19,oh_8_19,thru_8_19,order_8_26,oh_8_26,thru_8_26,order_9_3,ohBNW_9_3,ohBARS_9_3,oh_9_3,thru_9_3,order_9_9,ohBNW_9_9,ohBARS_9_9,oh_9_9,thru_9_9,order_9_16,ohBNW_9_16,ohBARS_9_16,oh_9_16,thru_9_16,order_9_23,ohBNW_9_23,ohBARS_9_23,oh_9_23,thru_9_23,order_10_1,ohBNW_10_1,ohBARS_10_1,oh_10_1,thru_10_1,order_10_7,ohBNW_10_7,ohBARS_10_7,oh_10_7,thru_10_7,order_10_14,ohBNW_10_14,ohBARS_10_14,crab_took_10_14,oh_10_14,thru_10_14,INSERT STATEMENTS
Rack Vodka,vodka,Southern,6,55,85,59,81,33,91,1,26,109,8,35,128,16,35,59,104,102,51,110,127,90,88,51,28,113,132,5,155,456,315,146,,176,139,43,95,124,85,80,100,102,93,89,83,118,58,,91,27,,17,74,83,48,52,82,64,46,111,20,,77,28,101,5,,57,26,81,22,,55,26,74,2,,51,22,68,8,,49,20,67,4,,51,10,,58,8,"('Rack Vodka','vodka','Southern',6,55,85,59,81,33,91,1,26,109,8,35,128,16,35,59,104,102,51,110,127,90,88,51,28,113,132,5,155,456,315,146,NULL,176,139,43,95,124,85,80,100,102,93,89,83,118,58,NULL,91,27,NULL,17,74,83,48,52,82,64,46,111,20,NULL,77,28,101,5,NULL,57,26,81,22,NULL,55,26,74,2,NULL,51,22,68,8,NULL,49,20,67,4,NULL,51,10,NULL,58,8),"
Rack Gin,gin,Southern,12,38,17,7,48,37,35,9,16,52,-1,,49,3,,39,10,18,58,-1,,41,17,,42,-1,,20,22,51,71,0,,59,12,,50,9,,48,2,,45,3,,44,1,,43,1,,34,9,,31,3,,26,23,49,-18,,36,14,50,-1,,36,16,51,-2,,38,12,48,2,,35,15,48,0,,35,15,49,0,,36,15,,48,-1,"('Rack Gin','gin','Southern',12,38,17,7,48,37,35,9,16,52,-1,NULL,49,3,NULL,39,10,18,58,-1,NULL,41,17,NULL,42,-1,NULL,20,22,51,71,0,NULL,59,12,NULL,50,9,NULL,48,2,NULL,45,3,NULL,44,1,NULL,43,1,NULL,34,9,NULL,31,3,NULL,26,23,49,-18,NULL,36,14,50,-1,NULL,36,16,51,-2,NULL,38,12,48,2,NULL,35,15,48,0,NULL,35,15,49,0,NULL,36,15,NULL,48,-1),"
Rack Rum,rum,Southern,12,33,83,31,85,16,28,19,34,57,5,,44,13,66,37,73,50,29,58,69,46,52,53,37,62,70,25,82,199,147,77,,70,77,49,12,107,115,73,54,33,53,53,36,48,41,,18,30,34,12,40,53,27,38,35,16,54,72,-8,,19,45,59,6,,10,39,46,15,,6,36,37,7,,5,36,37,1,,5,36,41,0,,2,30,,32,9,"('Rack Rum','rum','Southern',12,33,83,31,85,16,28,19,34,57,5,NULL,44,13,66,37,73,50,29,58,69,46,52,53,37,62,70,25,82,199,147,77,NULL,70,77,49,12,107,115,73,54,33,53,53,36,48,41,NULL,18,30,34,12,40,53,27,38,35,16,54,72,-8,NULL,19,45,59,6,NULL,10,39,46,15,NULL,6,36,37,7,NULL,5,36,37,1,NULL,5,36,41,0,NULL,2,30,NULL,32,9),"
Rack Tequila,tequila,Southern,6,1,85,9,77,137,128,18,,116,12,26,129,13,19,9,139,125,56,78,125,83,98,82,56,109,123,63,116,333,231,165,,113,118,85,29,169,210,154,85,53,126,81,53,126,53,,76,50,53,45,84,41,47,39,86,71,27,99,35,,78,13,89,7,,64,9,71,18,,33,22,54,18,,27,25,50,3,,31,21,52,0,,30,18,,43,4,"('Rack Tequila','tequila','Southern',6,1,85,9,77,137,128,18,NULL,116,12,26,129,13,19,9,139,125,56,78,125,83,98,82,56,109,123,63,116,333,231,165,NULL,113,118,85,29,169,210,154,85,53,126,81,53,126,53,NULL,76,50,53,45,84,41,47,39,86,71,27,99,35,NULL,78,13,89,7,NULL,64,9,71,18,NULL,33,22,54,18,NULL,27,25,50,3,NULL,31,21,52,0,NULL,30,18,NULL,43,4),"
Triple Sec,liqueur,Southern,12,84,1,35,50,0,30,5,16,52,-6,17,67,2,,38,29,35,48,25,36,60,24,,34,26,35,33,36,82,86,29,,55,31,20,41,34,20,41,20,20,32,29,18,34,16,,26,8,16,26,16,20,25,21,19,18,22,34,4,20,30,16,41,14,,16,16,34,14,,15,12,31,5,,11,18,26,-2,,11,19,26,-1,,11,16,4,24,-1,"('Triple Sec','liqueur','Southern',12,84,1,35,50,0,30,5,16,52,-6,17,67,2,NULL,38,29,35,48,25,36,60,24,NULL,34,26,35,33,36,82,86,29,NULL,55,31,20,41,34,20,41,20,20,32,29,18,34,16,NULL,26,8,16,26,16,20,25,21,19,18,22,34,4,20,30,16,41,14,NULL,16,16,34,14,NULL,15,12,31,5,NULL,11,18,26,-2,NULL,11,19,26,-1,NULL,11,16,4,24,-1),"
Peach Schnapps,liqueur,Southern,12,42,0,3,39,51,47,7,,44,3,20,50,14,33,22,61,66,42,46,49,72,19,,69,3,,38,31,152,136,54,,107,29,16,85,38,,50,35,18,38,30,19,41,16,,38,3,20,37,21,,23,14,17,15,31,46,-6,,20,27,43,-1,,20,18,38,9,,20,24,40,-6,,20,25,39,-1,,18,25,41,2,,19,24,,37,0,"('Peach Schnapps','liqueur','Southern',12,42,0,3,39,51,47,7,NULL,44,3,20,50,14,33,22,61,66,42,46,49,72,19,NULL,69,3,NULL,38,31,152,136,54,NULL,107,29,16,85,38,NULL,50,35,18,38,30,19,41,16,NULL,38,3,20,37,21,NULL,23,14,17,15,31,46,-6,NULL,20,27,43,-1,NULL,20,18,38,9,NULL,20,24,40,-6,NULL,20,25,39,-1,NULL,18,25,41,2,NULL,19,24,NULL,37,0),"
Amaretto,liqueur,Southern,12,82,4,64,22,4,59,9,,63,-4,,59,4,,42,17,,46,-4,,40,6,,27,13,17,34,10,37,59,12,,49,10,,34,15,,35,-1,,30,5,,24,6,,20,4,,16,4,,14,2,19,19,5,20,9,20,35,5,39,4,,30,1,34,9,,29,1,32,1,,26,5,30,-1,,29,3,27,-1,,27,3,,27,2,"('Amaretto','liqueur','Southern',12,82,4,64,22,4,59,9,NULL,63,-4,NULL,59,4,NULL,42,17,NULL,46,-4,NULL,40,6,NULL,27,13,17,34,10,37,59,12,NULL,49,10,NULL,34,15,NULL,35,-1,NULL,30,5,NULL,24,6,NULL,20,4,NULL,16,4,NULL,14,2,19,19,5,20,9,20,35,5,39,4,NULL,30,1,34,9,NULL,29,1,32,1,NULL,26,5,30,-1,NULL,29,3,27,-1,NULL,27,3,NULL,27,2),"
Blue Curacao,liqueur,Southern,12,14,3,5,12,1,3,3,,6,-3,8,13,1,19,30,2,,29,1,,25,4,,25,0,,18,7,,17,1,,11,6,,5,6,20,23,2,,22,1,,22,0,,18,4,,18,0,,12,6,,12,,11,0,,9,,12,3,,9,,11,0,,9,,7,0,,11,,8,-2,,11,,7,0,,5,4,,7,2,"('Blue Curacao','liqueur','Southern',12,14,3,5,12,1,3,3,NULL,6,-3,8,13,1,19,30,2,NULL,29,1,NULL,25,4,NULL,25,0,NULL,18,7,NULL,17,1,NULL,11,6,NULL,5,6,20,23,2,NULL,22,1,NULL,22,0,NULL,18,4,NULL,18,0,NULL,12,6,NULL,12,NULL,11,0,NULL,9,NULL,12,3,NULL,9,NULL,11,0,NULL,9,NULL,7,0,NULL,11,NULL,8,-2,NULL,11,NULL,7,0,NULL,5,4,NULL,7,2),"
Coffee Liqueur,liqueur,Southern,12,30,3,30,3,4,33,1,,30,3,,32,-2,,34,-2,,37,-3,,38,-1,,39,-1,,38,1,,36,2,,40,-4,,40,0,,37,3,,38,-1,,38,0,,38,0,,40,-2,,35,5,,36,,37,-1,,34,,35,2,,36,,38,-2,,32,,33,4,,34,,34,-2,,36,,33,-2,,33,3,,36,0,"('Coffee Liqueur','liqueur','Southern',12,30,3,30,3,4,33,1,NULL,30,3,NULL,32,-2,NULL,34,-2,NULL,37,-3,NULL,38,-1,NULL,39,-1,NULL,38,1,NULL,36,2,NULL,40,-4,NULL,40,0,NULL,37,3,NULL,38,-1,NULL,38,0,NULL,38,0,NULL,40,-2,NULL,35,5,NULL,36,NULL,37,-1,NULL,34,NULL,35,2,NULL,36,NULL,38,-2,NULL,32,NULL,33,4,NULL,34,NULL,34,-2,NULL,36,NULL,33,-2,NULL,33,3,NULL,36,0),"
Blackberry Liqueur,liqueur,Southern,12,21,4,23,2,3,22,4,,19,3,,19,0,,21,-2,,20,1,,20,0,,21,-1,,23,-2,,19,4,,19,0,,22,-3,,20,2,,20,0,,19,1,,19,0,,19,0,,21,-2,,22,,21,-1,,15,,15,7,,16,,17,-1,,18,,18,-2,,18,,17,0,,16,,15,2,,19,0,,18,-3,"('Blackberry Liqueur','liqueur','Southern',12,21,4,23,2,3,22,4,NULL,19,3,NULL,19,0,NULL,21,-2,NULL,20,1,NULL,20,0,NULL,21,-1,NULL,23,-2,NULL,19,4,NULL,19,0,NULL,22,-3,NULL,20,2,NULL,20,0,NULL,19,1,NULL,19,0,NULL,19,0,NULL,21,-2,NULL,22,NULL,21,-1,NULL,15,NULL,15,7,NULL,16,NULL,17,-1,NULL,18,NULL,18,-2,NULL,18,NULL,17,0,NULL,16,NULL,15,2,NULL,19,0,NULL,18,-3),"
