Category,Company,Item,Case,OH (2022 left over),2023 Opening Order,OH (4/30),Thru,Order,OH (5/7),Thru,Order,OH (5/14),Thru,Order 5/16,OH (5/21),Thru,Order 5/23,OH (5/28),Thru,O 5/30,OH 6/4,Thru,O 6/7,OH 6/11,Thru,May Baseline,Estimated Reorder Quantity,O,OH (6/18),Thru,O 6.20,OH (6/25),Thru,Order 6.28,OH (7/9),Thru 1.5 weeks ,Order,OH (7/16),Thru,Order,OH (7/23),Thru,Order,OH (7/30),Thru,Order (8/1),OH (8/6),Thru,Order 8.8,OH (8/13),THRU,Order,OH (8/20),THRU,OH (8/29),ORDER 9/6,OH (9/6),,OH (9/12),,OH (9/26)
Rack,Union,Rack Vodka (naturall) $5.50 per bottle,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Union,Rack Gin,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Union,Rack Rum,12,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Union,Rack Tequila,12,,,,,,,,,,,,,,,,,,,,,,,,,,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Southern,Rack Tequila (Olmecca Altos),6,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,,,,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Union,Triple Sec,12,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,,Hidden,,Hidden
,Union,Peach Schnapps,12,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,,Hidden,,Hidden
,Union,Amaretto,12,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,,Hidden,,Hidden
,Union,Blue Curacao,12,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,,Hidden,,Hidden
,Union,Coffee Liqueur || Cafe Lolita,,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,,Hidden,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,,Hidden,Hidden,Hidden,Hidden,Hidden,,Hidden,Hidden,,Hidden,,Hidden,Hidden,,Hidden,,Hidden,,Hidden,,Hidden
