"item","category","company","number_per_case","metric","month","day","amount"
"151 Rum","rum","Empire",12,"oh","leftover","2023",NA
"151 Rum","rum","Empire",12,"opening","order","2024",NA
"151 Rum","rum","Empire",12,"oh","4","29",NA
"151 Rum","rum","Empire",12,"thru","4","29",NA
"151 Rum","rum","Empire",12,"order","5","6",NA
"151 Rum","rum","Empire",12,"oh","5","6",NA
"151 Rum","rum","Empire",12,"thru","5","6",NA
"151 Rum","rum","Empire",12,"order","5","13",NA
"151 Rum","rum","Empire",12,"oh","5","13",NA
"151 Rum","rum","Empire",12,"thru","5","15",NA
"151 Rum","rum","Empire",12,"order","5","20",NA
"151 Rum","rum","Empire",12,"oh","5","20",NA
"151 Rum","rum","Empire",12,"thru","5","20",NA
"151 Rum","rum","Empire",12,"order","5","28",NA
"151 Rum","rum","Empire",12,"oh","5","28",NA
"151 Rum","rum","Empire",12,"thru","5","28",NA
"151 Rum","rum","Empire",12,"order","6","5",NA
"151 Rum","rum","Empire",12,"oh","6","5",2
"151 Rum","rum","Empire",12,"thru","6","5",NA
"151 Rum","rum","Empire",12,"order","6","10",20
"151 Rum","rum","Empire",12,"oh","6","10",21
"151 Rum","rum","Empire",12,"thru","6","10",1
"151 Rum","rum","Empire",12,"order","6","17",NA
"151 Rum","rum","Empire",12,"oh","6","17",20
"151 Rum","rum","Empire",12,"thru","6","17",1
"151 Rum","rum","Empire",12,"order","6","24",NA
"151 Rum","rum","Empire",12,"oh","6","24",16
"151 Rum","rum","Empire",12,"thru","6","24",4
"151 Rum","rum","Empire",12,"order","7","1",NA
"151 Rum","rum","Empire",12,"oh","7","1",14
"151 Rum","rum","Empire",12,"thru","7","1",2
"151 Rum","rum","Empire",12,"order","7","8",NA
"151 Rum","rum","Empire",12,"oh","7","8",3
"151 Rum","rum","Empire",12,"thru","7","8",11
"151 Rum","rum","Empire",12,"order","7","15",17
"151 Rum","rum","Empire",12,"oh","7","15",19
"151 Rum","rum","Empire",12,"thru","7","15",1
"151 Rum","rum","Empire",12,"order","7","22",NA
"151 Rum","rum","Empire",12,"oh","7","22",18
"151 Rum","rum","Empire",12,"thru","7","22",1
"151 Rum","rum","Empire",12,"order","7","29",NA
"151 Rum","rum","Empire",12,"oh","7","29",15
"151 Rum","rum","Empire",12,"thru","7","29",3
"151 Rum","rum","Empire",12,"order","8","5",NA
"151 Rum","rum","Empire",12,"oh","8","5",12
"151 Rum","rum","Empire",12,"thru","8","5",3
"151 Rum","rum","Empire",12,"order","8","12",NA
"151 Rum","rum","Empire",12,"oh","8","12",13
"151 Rum","rum","Empire",12,"thru","8","12",NA
"151 Rum","rum","Empire",12,"order","8","19",NA
"151 Rum","rum","Empire",12,"oh","8","19",9
"151 Rum","rum","Empire",12,"thru","8","19",4
"151 Rum","rum","Empire",12,"order","8","26",NA
"151 Rum","rum","Empire",12,"oh","8","26",7
"151 Rum","rum","Empire",12,"thru","8","26",2
"151 Rum","rum","Empire",12,"order","9","5",12
"151 Rum","rum","Empire",12,"ohBNW","9","5",13
"151 Rum","rum","Empire",12,"ohBARS","9","5",12
"151 Rum","rum","Empire",12,"oh","9","5",25
"151 Rum","rum","Empire",12,"thru","9","5",NA
"151 Rum","rum","Empire",12,"order","9","9",NA
"151 Rum","rum","Empire",12,"ohBNW","9","9",15
"151 Rum","rum","Empire",12,"ohBARS","9","9",12
"151 Rum","rum","Empire",12,"oh","9","9",24
"151 Rum","rum","Empire",12,"thru","9","9",NA
"151 Rum","rum","Empire",12,"order","9","16",NA
"151 Rum","rum","Empire",12,"ohBNW","9","16",12
"151 Rum","rum","Empire",12,"ohBARS","9","16",10
"151 Rum","rum","Empire",12,"oh","9","16",22
"151 Rum","rum","Empire",12,"thru","9","16",5
"151 Rum","rum","Empire",12,"order","9","25",NA
"151 Rum","rum","Empire",12,"ohBNW","9","25",14
"151 Rum","rum","Empire",12,"ohBARS","9","25",13
"151 Rum","rum","Empire",12,"oh","9","25",23
"151 Rum","rum","Empire",12,"thru","9","25",NA
"151 Rum","rum","Empire",12,"order","10","1",NA
"151 Rum","rum","Empire",12,"ohBNW","10","1",15
"151 Rum","rum","Empire",12,"ohBARS","10","1",10
"151 Rum","rum","Empire",12,"oh","10","1",25
"151 Rum","rum","Empire",12,"thru","10","1",2
"151 Rum","rum","Empire",12,"order","10","7",NA
"151 Rum","rum","Empire",12,"ohBNW","10","7",14
"151 Rum","rum","Empire",12,"ohBARS","10","7",8
"151 Rum","rum","Empire",12,"oh","10","7",23
"151 Rum","rum","Empire",12,"thru","10","7",3
"151 Rum","rum","Empire",12,"order","10","14",NA
"151 Rum","rum","Empire",12,"ohBNW","10","14",18
"151 Rum","rum","Empire",12,"ohBARS","10","14",9
"151 Rum","rum","Empire",12,"crab_took","10","14",NA
"151 Rum","rum","Empire",12,"oh","10","14",21
"151 Rum","rum","Empire",12,"thru","10","14",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","leftover","2023",44
"1800 Coconut Tequila","tequila","Empire",6,"opening","order","2024",0
"1800 Coconut Tequila","tequila","Empire",6,"oh","4","29",24
"1800 Coconut Tequila","tequila","Empire",6,"thru","4","29",20
"1800 Coconut Tequila","tequila","Empire",6,"order","5","6",4
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","6",28
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","6",0
"1800 Coconut Tequila","tequila","Empire",6,"order","5","13",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","13",27
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","15",1
"1800 Coconut Tequila","tequila","Empire",6,"order","5","20",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","20",27
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","20",0
"1800 Coconut Tequila","tequila","Empire",6,"order","5","28",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","28",17
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","28",10
"1800 Coconut Tequila","tequila","Empire",6,"order","6","5",20
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","5",22
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","5",15
"1800 Coconut Tequila","tequila","Empire",6,"order","6","10",18
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","10",17
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","10",23
"1800 Coconut Tequila","tequila","Empire",6,"order","6","17",33
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","17",36
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","17",14
"1800 Coconut Tequila","tequila","Empire",6,"order","6","24",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","24",18
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","24",18
"1800 Coconut Tequila","tequila","Empire",6,"order","7","1",36
